	title	link	salary_min	salary_max	salary_currency	source
227	Менеджер по продажам	https://hh.ru/vacancy/50922699		50000.0	руб.	hh.ru
228	Разработчик чат-ботов	https://hh.ru/vacancy/51759280		180000.0	KZT	hh.ru
229	Водитель-курьер на личном автомобиле	https://hh.ru/vacancy/50798211	35000.0	96000.0	руб.	hh.ru
230	Руководитель отдела продаж ювелирной компании	https://hh.ru/vacancy/51716120		120000.0	руб.	hh.ru
231	Менеджер по продажам премиального продукта	https://hh.ru/vacancy/47454743	250000.0	600000.0	KZT	hh.ru
232	Директор по продажам	https://hh.ru/vacancy/50984151		200000.0	руб.	hh.ru
233	Кладовщик сборщик	https://hh.ru/vacancy/51887221	150000.0	200000.0	KZT	hh.ru
234	Продавец-консультант парфюмерии и косметики в Тринити	https://hh.ru/vacancy/50833252	650.0	900.0	бел.руб.	hh.ru
235	Системный администратор	https://hh.ru/vacancy/51331116	70000.0	90000.0	руб.	hh.ru
236	Специалист голосовой поддержки пользователей	https://hh.ru/vacancy/50581523	31500.0	38000.0	руб.	hh.ru
237	Специалист службы поддержки со знанием английского языка (на проект Kwork.ru)	https://hh.ru/vacancy/51007089		65000.0	руб.	hh.ru
238	Няня-гувернантка/гувернер	https://hh.ru/vacancy/50759508		100000.0	руб.	hh.ru
239	Помощник менеджера по подбору персонала	https://hh.ru/vacancy/51026888		45000.0	руб.	hh.ru
240	Региональный менеджер	https://hh.ru/vacancy/51828019	65000.0	120000.0	руб.	hh.ru
241	Специалист по закупу	https://hh.ru/vacancy/51831213	250000.0	560000.0	KZT	hh.ru
242	Ведущий бухгалтер	https://hh.ru/vacancy/51883832	70000.0	80000.0	руб.	hh.ru
243	Аккаунт-менеджер (Digital)	https://hh.ru/vacancy/49787166				hh.ru
244	Экономист	https://hh.ru/vacancy/50785182		2000.0	бел.руб.	hh.ru
245	Офис-менеджер/помощник руководителя (ВЭД; производство)	https://hh.ru/vacancy/51905438	45000.0	60000.0	руб.	hh.ru
246	Главный бухгалтер	https://hh.ru/vacancy/51614178		100000.0	руб.	hh.ru
247	Региональный менеджер по продажам	https://hh.ru/vacancy/51720882	80000.0	150000.0	руб.	hh.ru
248	Водитель на автомобиль компании	https://hh.ru/vacancy/51482897	75000.0	140000.0	руб.	hh.ru
249	Специалист по аппаратным процедурам	https://hh.ru/vacancy/51810260	60000.0	75000.0	руб.	hh.ru
250	СММ-менеджер	https://hh.ru/vacancy/51901887				hh.ru
251	Мерчандайзер	https://hh.ru/vacancy/51896938		100000.0	KZT	hh.ru
252	Персональный ассистент директора	https://hh.ru/vacancy/51916348		4000000.0	сум	hh.ru
253	Оператор терминала (работник склада)	https://hh.ru/vacancy/51849312	45000.0	55000.0	руб.	hh.ru
254	Секретарь Административного отдела	https://hh.ru/vacancy/51632348				hh.ru
255	Кладовщик-комплектовщик	https://hh.ru/vacancy/45189103		80000.0	руб.	hh.ru
256	Руководитель отдела продаж	https://hh.ru/vacancy/51586879		700000.0	KZT	hh.ru
257	Юрист	https://hh.ru/vacancy/51792321		45000.0	руб.	hh.ru
258	CG Artist / Архитектурный визуализатор	https://hh.ru/vacancy/51619776	200000.0	600000.0	KZT	hh.ru
259	Координатор проекта	https://hh.ru/vacancy/51878149				hh.ru
260	Дизайнер интерьера	https://hh.ru/vacancy/51586907		1000000.0	KZT	hh.ru
261	"Работник ""Макдоналдс"""	https://hh.ru/vacancy/51418184	48000.0	48000.0	руб.	hh.ru
262	Дизайнер	https://hh.ru/vacancy/51175237		70000.0	руб.	hh.ru
263	Бухгалтер/ Экономист/ Финансовый аналитик	https://hh.ru/vacancy/51630348				hh.ru
264	Аналитик по продажам	https://hh.ru/vacancy/51725117		130000.0	руб.	hh.ru
265	Офис-менеджер	https://hh.ru/vacancy/51881537	250.0	300.0	EUR	hh.ru
266	Бухгалтер на первичную документацию	https://hh.ru/vacancy/51834080	800.0	1200.0	бел.руб.	hh.ru
267	IT Recruiter	https://hh.ru/vacancy/51868067				hh.ru
268	Продавец-консультант магазина re:Store (Apple Premium Reseller) ТЦ Мега	https://hh.ru/vacancy/49554688		50000.0	руб.	hh.ru
269	Оператор call-центра (работа из дома)	https://hh.ru/vacancy/51076769	25000.0	40000.0	руб.	hh.ru
